recording_id,label,delta,theta,alpha,sigma,beta,eog_ptp,emg_rms,pz_delta,pz_alpha,pz_sigma
SC4421E0-PSG.edf,REM,0.596,0.1748,0.1006,0.0714,0.1194,177.9,0.8345,0.5082,0.1624,0.0928
SC4421E0-PSG.edf,Wake,0.8696,0.0608,0.0215,0.015,0.0395,717.65,3.013,0.2558,0.1484,0.1346
SC4422E0-PSG.edf,N1,0.4453,0.1394,0.1784,0.0994,0.2065,121.2,2.927,0.3807,0.2234,0.1089
SC4422E0-PSG.edf,N2,0.778,0.1254,0.0566,0.0382,0.0369,96.65,2.867,0.6407,0.0909,0.05
SC4422E0-PSG.edf,N3,0.8976,0.0704,0.0194,0.0144,0.0126,130.7,2.8525,0.7905,0.0474,0.024
SC4422E0-PSG.edf,REM,0.6279,0.1827,0.096,0.0582,0.0977,162.5,0.9445,0.5342,0.1537,0.0832
SC4422E0-PSG.edf,Wake,0.8924,0.0566,0.015,0.0105,0.0284,706.3,2.893,0.3546,0.1417,0.1182
SC4431E0-PSG.edf,N1,0.7113,0.1067,0.0659,0.0551,0.1068,122.9,2.905,0.5844,0.0951,0.0568
SC4431E0-PSG.edf,N2,0.8404,0.0865,0.0375,0.0258,0.0382,116.1,3.066,0.6724,0.0678,0.0342
SC4431E0-PSG.edf,N3,0.926,0.0464,0.0161,0.0098,0.0118,144.25,2.5415,0.7753,0.0419,0.0179
SC4431E0-PSG.edf,OTHER,0.4149,0.1313,0.1155,0.1054,0.3387,49.4,3.392,0.3114,0.1305,0.1267
SC4431E0-PSG.edf,REM,0.6064,0.1616,0.0767,0.0487,0.1321,121.1,1.682,0.5757,0.1129,0.0628
SC4431E0-PSG.edf,Wake,0.641,0.0917,0.0519,0.049,0.2145,666.85,3.372,0.3713,0.142,0.1084
SC4432E0-PSG.edf,N1,0.5802,0.0937,0.0716,0.0607,0.2686,112.2,1.477,0.5562,0.0876,0.0659
SC4432E0-PSG.edf,N2,0.7778,0.1063,0.0511,0.0368,0.0559,99.7,0.946,0.6426,0.0788,0.0397
SC4432E0-PSG.edf,N3,0.9222,0.0499,0.0157,0.0107,0.0132,135.65,0.945,0.7893,0.0402,0.0198
SC4432E0-PSG.edf,REM,0.6013,0.1656,0.0803,0.0565,0.1395,121.0,0.935,0.566,0.1114,0.0625
SC4432E0-PSG.edf,Wake,0.768,0.0978,0.0377,0.0296,0.0947,678.5,3.291,0.3345,0.1577,0.121
SC4441E0-PSG.edf,N1,0.6073,0.1468,0.1134,0.0846,0.1248,150.4,2.572,0.5528,0.1385,0.0721
SC4441E0-PSG.edf,N2,0.693,0.1419,0.0807,0.0606,0.0783,156.1,1.801,0.6339,0.104,0.0595
SC4441E0-PSG.edf,N3,0.8844,0.0675,0.0275,0.017,0.0195,177.4,1.721,0.8308,0.0367,0.0204
SC4441E0-PSG.edf,REM,0.497,0.167,0.1148,0.0838,0.2006,301.4,1.341,0.527,0.1422,0.08
SC4441E0-PSG.edf,Wake,0.647,0.0919,0.0626,0.0585,0.197,632.1,3.035,0.4278,0.1609,0.1099
SC4442E0-PSG.edf,N1,0.6622,0.1439,0.1007,0.0675,0.1005,161.05,2.991,0.5558,0.1355,0.0668
SC4442E0-PSG.edf,N2,0.7292,0.1326,0.0699,0.0522,0.0656,157.6,1.1465,0.6764,0.089,0.0492
SC4442E0-PSG.edf,N3,0.903,0.0629,0.0202,0.0127,0.013,189.6,1.23,0.8738,0.0274,0.013
SC4442E0-PSG.edf,REM,0.487,0.208,0.1304,0.0836,0.1749,179.7,0.363,0.5159,0.1446,0.0735
SC4442E0-PSG.edf,Wake,0.6981,0.089,0.053,0.048,0.1582,680.1,3.3865,0.4442,0.1572,0.1061
SC4451F0-PSG.edf,N1,0.4896,0.1243,0.1088,0.0933,0.2488,154.8,3.15,0.4517,0.1502,0.0963
SC4451F0-PSG.edf,N2,0.8324,0.0723,0.0492,0.04,0.0454,136.9,3.123,0.721,0.0612,0.0406
SC4451F0-PSG.edf,N3,0.9473,0.0321,0.0137,0.0059,0.0066,219.8,2.592,0.8802,0.0175,0.0077
SC4451F0-PSG.edf,REM,0.666,0.1765,0.0542,0.0351,0.0744,337.1,0.718,0.5378,0.1291,0.0678
SC4451F0-PSG.edf,Wake,0.599,0.1118,0.0704,0.0631,0.2155,516.8,3.283,0.3931,0.1262,0.1236
SC4452F0-PSG.edf,N1,0.6096,0.1087,0.091,0.0748,0.1762,175.25,3.275,0.4854,0.1473,0.0948
SC4452F0-PSG.edf,N2,0.847,0.0686,0.0416,0.0322,0.041,118.3,3.2915,0.6726,0.0638,0.0438
SC4452F0-PSG.edf,N3,0.9458,0.0349,0.0132,0.006,0.0056,181.6,3.264,0.8756,0.0173,0.0078
SC4452F0-PSG.edf,REM,0.6926,0.1532,0.0531,0.0339,0.0707,363.7,0.819,0.5436,0.1291,0.0746
SC4452F0-PSG.edf,Wake,0.6394,0.1073,0.0627,0.0549,0.1902,500.3,3.395,0.3838,0.1253,0.1233
SC4461F0-PSG.edf,N1,0.7596,0.1056,0.0586,0.0378,0.0764,85.25,2.2125,0.6486,0.088,0.0417
SC4461F0-PSG.edf,N2,0.8636,0.0846,0.032,0.0185,0.019,74.9,0.761,0.7861,0.0491,0.025
SC4461F0-PSG.edf,N3,0.9404,0.0449,0.0119,0.0065,0.0057,91.5,0.58,0.9001,0.0187,0.0063
SC4461F0-PSG.edf,OTHER,0.3319,0.157,0.158,0.1048,0.3574,329.7,2.685,0.8256,0.052,0.0182
SC4461F0-PSG.edf,REM,0.7385,0.142,0.0526,0.0299,0.063,173.15,0.395,0.6484,0.0885,0.0369
SC4461F0-PSG.edf,Wake,0.8308,0.0998,0.0208,0.0136,0.0426,577.1,3.54,0.3326,0.1395,0.125
SC4462F0-PSG.edf,N1,0.7543,0.1084,0.0679,0.0432,0.0763,74.0,1.428,0.6149,0.0918,0.046
SC4462F0-PSG.edf,N2,0.8517,0.0919,0.0345,0.0214,0.0198,69.0,0.7325,0.755,0.056,0.0298
SC4462F0-PSG.edf,N3,0.9312,0.0476,0.0147,0.0064,0.0062,104.2,0.601,0.9025,0.02,0.0073
SC4462F0-PSG.edf,OTHER,0.4718,0.1241,0.1396,0.1014,0.2676,264.85,3.2785,0.9164,0.0207,0.0086
SC4462F0-PSG.edf,REM,0.7748,0.123,0.0392,0.0231,0.0499,186.35,0.411,0.6501,0.0875,0.0377
SC4462F0-PSG.edf,Wake,0.8133,0.1021,0.0243,0.0169,0.0573,552.1,3.567,0.2992,0.1339,0.1275
SC4471F0-PSG.edf,N1,0.7144,0.0938,0.0736,0.0669,0.1115,119.5,2.9985,0.5426,0.1172,0.0648
SC4471F0-PSG.edf,N2,0.8526,0.0732,0.0368,0.0269,0.0385,114.5,2.089,0.7039,0.0643,0.0318
SC4471F0-PSG.edf,N3,0.9349,0.0419,0.013,0.0075,0.0089,151.0,1.407,0.8345,0.0277,0.012
SC4471F0-PSG.edf,OTHER,0.869,0.0227,0.0254,0.0304,0.0852,225.4,2.901,0.9659,0.0111,0.0105
SC4471F0-PSG.edf,REM,0.5619,0.1642,0.1012,0.0784,0.1621,109.75,1.124,0.576,0.1464,0.0802
SC4471F0-PSG.edf,Wake,0.7846,0.0972,0.036,0.0285,0.0779,440.9,3.093,0.4926,0.1527,0.0998
SC4472F0-PSG.edf,N1,0.7022,0.0956,0.079,0.0689,0.1146,116.8,2.635,0.6208,0.1117,0.0697
SC4472F0-PSG.edf,N2,0.9006,0.0527,0.0246,0.0156,0.022,108.2,2.287,0.782,0.0456,0.0263
SC4472F0-PSG.edf,N3,0.9526,0.0312,0.0079,0.0047,0.0049,139.9,2.3065,0.9014,0.0134,0.0066
SC4472F0-PSG.edf,OTHER,0.9008,0.0367,0.0336,0.0237,0.0304,270.3,3.001,0.831,0.0674,0.0303
SC4472F0-PSG.edf,REM,0.6637,0.1398,0.0717,0.0531,0.106,132.4,1.432,0.671,0.0955,0.0575
SC4472F0-PSG.edf,Wake,0.8425,0.0778,0.0288,0.0204,0.0456,403.4,2.77,0.5996,0.1176,0.0699
SC4481F0-PSG.edf,N1,0.5395,0.1183,0.1281,0.0851,0.2049,164.1,3.109,0.5415,0.1512,0.0745
SC4481F0-PSG.edf,N2,0.8199,0.0822,0.0472,0.0462,0.0476,90.9,2.612,0.7382,0.0631,0.0519
SC4481F0-PSG.edf,N3,0.9412,0.0333,0.018,0.0098,0.008,112.7,1.312,0.901,0.0226,0.0129
SC4481F0-PSG.edf,REM,0.6909,0.1296,0.0706,0.051,0.0958,180.9,0.4975,0.6362,0.0912,0.054
SC4481F0-PSG.edf,Wake,0.8463,0.0652,0.0256,0.0206,0.0599,655.7,3.244,0.3321,0.1288,0.1348
SC4482F0-PSG.edf,N1,0.5681,0.1346,0.1146,0.0849,0.1614,150.9,2.48,0.6094,0.1134,0.0673
SC4482F0-PSG.edf,N2,0.7598,0.1044,0.0621,0.0584,0.0707,111.6,2.0815,0.6884,0.0774,0.0658
SC4482F0-PSG.edf,N3,0.921,0.0436,0.0258,0.0124,0.0109,163.3,1.3525,0.8872,0.0266,0.0146
SC4482F0-PSG.edf,REM,0.6166,0.1562,0.0882,0.0627,0.1296,172.0,0.4,0.5611,0.1224,0.0694
SC4482F0-PSG.edf,Wake,0.7277,0.085,0.0481,0.0439,0.1381,725.05,3.174,0.3398,0.1329,0.1388
SC4491G0-PSG.edf,N1,0.6548,0.1104,0.0993,0.0661,0.1291,124.9,4.259,0.5336,0.1318,0.0728
SC4491G0-PSG.edf,N2,0.7845,0.0975,0.0782,0.0511,0.0403,135.65,3.805,0.6402,0.1106,0.0622
SC4491G0-PSG.edf,N3,0.9072,0.0613,0.0295,0.0118,0.0071,203.15,4.2085,0.783,0.0458,0.0176
SC4491G0-PSG.edf,REM,0.7014,0.1322,0.07,0.0432,0.092,392.25,0.746,0.5816,0.1306,0.0782
SC4491G0-PSG.edf,Wake,0.7255,0.1141,0.0555,0.0427,0.1043,742.6,4.47,0.366,0.1569,0.1347
SC4492G0-PSG.edf,N1,0.6959,0.1003,0.0911,0.0641,0.1107,154.6,3.561,0.5577,0.1203,0.0676
SC4492G0-PSG.edf,N2,0.7814,0.0953,0.0762,0.0528,0.0378,143.55,3.543,0.6544,0.1032,0.0599
SC4492G0-PSG.edf,N3,0.8902,0.0618,0.0393,0.0152,0.0089,175.1,3.552,0.786,0.0633,0.0244
SC4492G0-PSG.edf,OTHER,0.875,0.0404,0.0319,0.0187,0.0532,534.6,3.259,0.9349,0.0189,0.01
SC4492G0-PSG.edf,REM,0.7015,0.1289,0.0706,0.0439,0.0853,440.2,3.589,0.6161,0.1061,0.0679
SC4492G0-PSG.edf,Wake,0.6958,0.1118,0.0621,0.0482,0.1254,595.8,3.545,0.269,0.1618,0.1439
SC4501E0-PSG.edf,N1,0.6462,0.1464,0.1281,0.0792,0.0839,160.0,3.12,0.4916,0.1424,0.095
SC4501E0-PSG.edf,N2,0.7696,0.1109,0.0795,0.0448,0.0403,101.1,0.8185,0.5995,0.1142,0.0714
SC4501E0-PSG.edf,N3,0.9173,0.0526,0.0238,0.0094,0.0076,89.2,0.6525,0.6925,0.066,0.0412
SC4501E0-PSG.edf,REM,0.6128,0.127,0.1292,0.0908,0.1101,171.2,0.575,0.5377,0.143,0.0929
SC4501E0-PSG.edf,Wake,0.8301,0.0809,0.0358,0.0258,0.0504,390.1,3.416,0.6092,0.0968,0.06
SC4502E0-PSG.edf,N1,0.6382,0.1423,0.1342,0.0835,0.0898,196.65,2.441,0.4958,0.2076,0.1082
SC4502E0-PSG.edf,N2,0.7157,0.1261,0.0945,0.0537,0.0555,120.6,1.013,0.6207,0.1371,0.0727
SC4502E0-PSG.edf,N3,0.8494,0.0819,0.0367,0.0201,0.0199,133.4,0.897,0.848,0.0448,0.0196
SC4502E0-PSG.edf,REM,0.5675,0.1389,0.1432,0.1017,0.1356,280.4,1.173,0.5096,0.2045,0.1167
SC4502E0-PSG.edf,Wake,0.8451,0.0807,0.0275,0.0208,0.0464,520.95,3.4935,0.4514,0.1666,0.1206
SC4511E0-PSG.edf,N1,0.7424,0.0967,0.0725,0.0435,0.08,112.8,1.889,0.6857,0.0817,0.0429
SC4511E0-PSG.edf,N2,0.8588,0.0764,0.0353,0.0241,0.028,93.9,1.2805,0.835,0.0386,0.0222
SC4511E0-PSG.edf,N3,0.9644,0.0259,0.0083,0.0035,0.0038,106.1,1.18,0.9384,0.0133,0.0074
SC4511E0-PSG.edf,REM,0.7707,0.0763,0.05,0.0338,0.089,265.35,0.189,0.6866,0.0736,0.0392
SC4511E0-PSG.edf,Wake,0.7773,0.0629,0.0348,0.0305,0.1238,518.1,2.9975,0.542,0.0904,0.0779
SC4512E0-PSG.edf,N1,0.7911,0.1046,0.0531,0.0342,0.0534,93.4,2.151,0.7621,0.0604,0.0299
SC4512E0-PSG.edf,N2,0.8541,0.0768,0.0367,0.0242,0.0299,84.8,1.795,0.8263,0.0416,0.0237
SC4512E0-PSG.edf,N3,0.9623,0.0236,0.0095,0.0045,0.0052,110.5,1.91,0.9182,0.0153,0.0074
SC4512E0-PSG.edf,REM,0.7667,0.0933,0.0559,0.0335,0.0897,250.35,0.31,0.6742,0.0771,0.0394
SC4512E0-PSG.edf,Wake,0.8228,0.0611,0.0284,0.0234,0.0911,505.2,2.8705,0.5404,0.0942,0.0803
SC4522E0-PSG.edf,N1,0.7569,0.1174,0.0728,0.0314,0.0513,80.4,2.879,0.5362,0.1112,0.0399
SC4522E0-PSG.edf,N2,0.7585,0.12,0.0792,0.0377,0.0364,83.35,2.602,0.6539,0.0887,0.04
SC4522E0-PSG.edf,N3,0.911,0.0596,0.0237,0.0084,0.0071,104.5,2.106,0.8327,0.0285,0.0104
SC4522E0-PSG.edf,REM,0.9178,0.048,0.0207,0.009,0.0136,195.1,2.8925,0.5874,0.131,0.045
SC4522E0-PSG.edf,Wake,0.9021,0.06,0.0155,0.0082,0.0154,496.9,2.879,0.6599,0.0726,0.0516
SC4531E0-PSG.edf,N1,0.8232,0.0831,0.0384,0.022,0.0379,102.2,1.9215,0.6804,0.0805,0.0401
SC4531E0-PSG.edf,N2,0.8916,0.0692,0.0232,0.0152,0.0157,85.8,1.17,0.8312,0.0363,0.0219
SC4531E0-PSG.edf,N3,0.9352,0.0479,0.0121,0.0067,0.0062,95.2,0.567,0.8965,0.0207,0.0108
SC4531E0-PSG.edf,REM,0.8604,0.0886,0.0272,0.0126,0.0186,325.9,0.3085,0.6707,0.104,0.0516
SC4531E0-PSG.edf,Wake,0.7716,0.0672,0.0387,0.0322,0.1206,533.9,2.751,0.4328,0.1093,0.0955
SC4532E0-PSG.edf,N1,0.7859,0.1119,0.0487,0.0237,0.0488,147.9,2.757,0.7104,0.0804,0.0305
SC4532E0-PSG.edf,N2,0.8994,0.0674,0.0211,0.0136,0.0131,82.4,2.746,0.8808,0.0257,0.0146
SC4532E0-PSG.edf,N3,0.9379,0.0444,0.0132,0.0066,0.0049,97.9,2.267,0.9345,0.0129,0.0062
SC4532E0-PSG.edf,REM,0.8412,0.106,0.0332,0.0145,0.0198,299.3,2.7405,0.7524,0.0734,0.0326
SC4532E0-PSG.edf,Wake,0.808,0.0644,0.0318,0.0265,0.0942,575.6,2.704,0.5867,0.0834,0.0691
SC4541F0-PSG.edf,N1,0.6963,0.0878,0.1082,0.0671,0.0906,116.7,2.129,0.6488,0.1383,0.0653
SC4541F0-PSG.edf,N2,0.7572,0.1013,0.0855,0.0691,0.0452,58.1,0.416,0.7596,0.0731,0.0579
SC4541F0-PSG.edf,N3,0.9216,0.0545,0.0184,0.0097,0.0069,83.1,0.444,0.8943,0.023,0.0102
SC4541F0-PSG.edf,OTHER,0.8551,0.044,0.0597,0.037,0.0437,274.3,3.594,0.5543,0.2184,0.1031
SC4541F0-PSG.edf,REM,0.7999,0.0897,0.0613,0.0402,0.0522,335.2,0.237,0.7132,0.0861,0.062
SC4541F0-PSG.edf,Wake,0.7584,0.0749,0.0355,0.0321,0.1165,357.0,3.649,0.5202,0.1127,0.0798
SC4542F0-PSG.edf,N1,0.7211,0.0846,0.0918,0.0604,0.0904,161.85,2.5445,0.633,0.1065,0.0672
SC4542F0-PSG.edf,N2,0.7653,0.0939,0.0859,0.0697,0.0455,90.2,0.652,0.7334,0.0832,0.068
SC4542F0-PSG.edf,N3,0.903,0.0558,0.0288,0.0196,0.0084,117.75,0.445,0.8702,0.0347,0.0214
SC4542F0-PSG.edf,REM,0.7609,0.0854,0.0645,0.0472,0.0624,374.55,0.411,0.7237,0.078,0.0534
SC4542F0-PSG.edf,Wake,0.8262,0.0756,0.0266,0.0207,0.0643,544.8,3.688,0.5372,0.1084,0.0753
SC4551F0-PSG.edf,N1,0.6194,0.1041,0.1002,0.0579,0.1439,117.5,3.877,0.5165,0.1278,0.0451
SC4551F0-PSG.edf,N2,0.7671,0.1055,0.057,0.0485,0.0614,84.3,3.888,0.6663,0.0617,0.0448
SC4551F0-PSG.edf,N3,0.9061,0.0535,0.0266,0.0164,0.0161,88.1,3.896,0.806,0.0325,0.0214
SC4551F0-PSG.edf,REM,0.7047,0.1177,0.046,0.0335,0.0876,257.2,1.892,0.6462,0.0751,0.0381
SC4551F0-PSG.edf,Wake,0.7488,0.0984,0.045,0.0329,0.0971,520.6,3.78,0.2543,0.1735,0.1393
SC4552F0-PSG.edf,N1,0.6515,0.1134,0.0771,0.0496,0.1267,120.2,1.618,0.5511,0.1105,0.0453
SC4552F0-PSG.edf,N2,0.8404,0.0861,0.0398,0.0311,0.0308,54.4,0.73,0.7376,0.0452,0.033
SC4552F0-PSG.edf,N3,0.9486,0.0334,0.0132,0.006,0.0057,59.2,0.455,0.8596,0.0233,0.0104
SC4552F0-PSG.edf,REM,0.747,0.1308,0.0437,0.0315,0.067,181.2,0.558,0.6632,0.0702,0.0317
SC4552F0-PSG.edf,Wake,0.8238,0.0898,0.0278,0.0163,0.0421,522.0,3.851,0.2756,0.178,0.1435
SC4561F0-PSG.edf,N1,0.7303,0.0807,0.0717,0.0442,0.109,110.8,3.307,0.5882,0.1449,0.0503
SC4561F0-PSG.edf,N2,0.8952,0.0612,0.021,0.0147,0.0232,92.5,1.359,0.7155,0.0472,0.0244
SC4561F0-PSG.edf,N3,0.9562,0.0294,0.008,0.0051,0.0062,117.55,0.556,0.8284,0.0252,0.0113
SC4561F0-PSG.edf,OTHER,0.8888,0.0314,0.0242,0.0181,0.0568,707.0,3.6425,0.794,0.0642,0.0438
SC4561F0-PSG.edf,REM,0.7125,0.1185,0.0799,0.0413,0.0764,96.0,0.445,0.6067,0.1343,0.0512
SC4561F0-PSG.edf,Wake,0.8162,0.093,0.0272,0.0193,0.0587,596.4,3.849,0.6702,0.082,0.0553
SC4562F0-PSG.edf,N1,0.7942,0.0716,0.064,0.0289,0.0558,93.1,2.483,0.6135,0.135,0.0386
SC4562F0-PSG.edf,N2,0.9206,0.052,0.0159,0.0102,0.0127,74.8,1.382,0.7576,0.0397,0.0191
SC4562F0-PSG.edf,N3,0.9614,0.0281,0.0066,0.0034,0.0032,99.55,0.9555,0.8776,0.0183,0.0087
SC4562F0-PSG.edf,REM,0.7505,0.1178,0.076,0.032,0.0463,74.8,0.941,0.6601,0.1185,0.0433
SC4562F0-PSG.edf,Wake,0.8752,0.0785,0.0159,0.0129,0.0297,474.2,3.256,0.7584,0.0559,0.0357
SC4571F0-PSG.edf,N1,0.6158,0.1458,0.1187,0.0846,0.1252,201.4,3.213,0.5714,0.1004,0.064
SC4571F0-PSG.edf,N2,0.7141,0.1127,0.0953,0.0777,0.0715,87.3,3.001,0.6675,0.0906,0.0729
SC4571F0-PSG.edf,OTHER,0.6312,0.116,0.0514,0.021,0.2236,256.65,3.3045,0.4686,0.0986,0.0882
SC4571F0-PSG.edf,REM,0.6772,0.1332,0.0766,0.0594,0.0948,326.45,2.434,0.6097,0.0935,0.0579
SC4571F0-PSG.edf,Wake,0.6857,0.086,0.0588,0.0458,0.1563,501.3,3.346,0.4997,0.1207,0.0893
SC4572F0-PSG.edf,N1,0.5724,0.1461,0.1142,0.1142,0.1686,132.65,2.4615,0.4838,0.1006,0.0944
SC4572F0-PSG.edf,N2,0.6731,0.1144,0.1014,0.0914,0.0904,101.5,2.156,0.4681,0.1051,0.0993
SC4572F0-PSG.edf,N3,0.9318,0.0382,0.0181,0.0124,0.0108,121.2,1.989,0.5176,0.1007,0.0902
SC4572F0-PSG.edf,OTHER,0.6073,0.0652,0.1214,0.0707,0.1954,372.0,2.572,0.8192,0.038,0.0236
SC4572F0-PSG.edf,REM,0.6252,0.1592,0.0847,0.0626,0.1262,248.65,0.481,0.4188,0.114,0.108
SC4572F0-PSG.edf,Wake,0.5861,0.0901,0.0721,0.0671,0.2444,537.6,2.981,0.5945,0.0783,0.0704
SC4581G0-PSG.edf,N1,0.672,0.1484,0.0884,0.048,0.0958,144.75,2.191,0.6222,0.097,0.0366
SC4581G0-PSG.edf,N2,0.755,0.1352,0.0613,0.0346,0.0503,125.3,1.6935,0.7033,0.0618,0.0293
SC4581G0-PSG.edf,N3,0.8729,0.072,0.0307,0.0106,0.018,174.25,2.9735,0.8474,0.033,0.0148
SC4581G0-PSG.edf,REM,0.6546,0.15,0.0995,0.0424,0.1028,331.4,2.045,0.5743,0.1263,0.039
SC4581G0-PSG.edf,Wake,0.7893,0.071,0.0396,0.0277,0.0868,614.5,3.134,0.6067,0.1081,0.0436
SC4582G0-PSG.edf,N1,0.638,0.1597,0.0978,0.0513,0.1047,97.6,3.376,0.5702,0.1121,0.0418
SC4582G0-PSG.edf,N2,0.7429,0.1335,0.064,0.0366,0.0594,97.2,3.401,0.6679,0.069,0.0306
SC4582G0-PSG.edf,N3,0.8417,0.0834,0.0408,0.0206,0.0276,102.25,3.4665,0.8418,0.0324,0.0163
SC4582G0-PSG.edf,REM,0.6281,0.156,0.1044,0.0473,0.1152,233.1,3.4265,0.519,0.1448,0.048
SC4582G0-PSG.edf,Wake,0.7578,0.0769,0.0492,0.0329,0.1048,544.5,3.276,0.4256,0.1598,0.0654
SC4591G0-PSG.edf,N1,0.7118,0.0683,0.0512,0.0253,0.1132,137.0,3.48,0.7336,0.0621,0.02
SC4591G0-PSG.edf,N2,0.785,0.1038,0.068,0.0476,0.0394,83.4,1.259,0.8132,0.0511,0.0251
SC4591G0-PSG.edf,N3,0.8752,0.068,0.0449,0.0245,0.0145,90.3,0.613,0.8808,0.0316,0.0153
SC4591G0-PSG.edf,OTHER,0.9467,0.0315,0.0111,0.0057,0.0121,247.2,3.132,0.981,0.0024,0.0013
SC4591G0-PSG.edf,REM,0.7146,0.1384,0.0796,0.0414,0.0618,148.5,1.2365,0.783,0.0586,0.0199
SC4591G0-PSG.edf,Wake,0.7692,0.0888,0.0514,0.0325,0.0822,366.3,3.473,0.5863,0.1132,0.0552
SC4592G0-PSG.edf,N1,0.8096,0.0889,0.0584,0.0253,0.0328,117.55,3.495,0.6631,0.0986,0.0285
SC4592G0-PSG.edf,N2,0.8333,0.0885,0.0489,0.0312,0.0261,81.6,3.5,0.7895,0.0569,0.0281
SC4592G0-PSG.edf,N3,0.8891,0.0667,0.0362,0.0188,0.0102,86.5,3.533,0.8913,0.0301,0.0138
SC4592G0-PSG.edf,REM,0.8243,0.0961,0.0465,0.023,0.031,236.1,2.923,0.7591,0.0651,0.0235
SC4592G0-PSG.edf,Wake,0.8711,0.0643,0.0307,0.015,0.0292,321.7,3.406,0.562,0.1347,0.0491
SC4601E0-PSG.edf,N1,0.6882,0.1654,0.1141,0.0421,0.0539,124.25,2.989,0.4932,0.1982,0.0538
SC4601E0-PSG.edf,N2,0.8734,0.0812,0.0333,0.012,0.0128,124.75,3.079,0.7172,0.0632,0.0195
SC4601E0-PSG.edf,N3,0.9412,0.0443,0.0106,0.0042,0.0042,174.05,2.971,0.8222,0.0264,0.0088
SC4601E0-PSG.edf,REM,0.6956,0.1454,0.1075,0.0458,0.0443,165.0,3.128,0.5668,0.175,0.0675
SC4601E0-PSG.edf,Wake,0.805,0.0942,0.0438,0.0256,0.0597,434.5,3.0115,0.403,0.2091,0.0999
SC4602E0-PSG.edf,N1,0.8344,0.0918,0.0489,0.0191,0.0238,179.7,3.361,0.5935,0.1237,0.0348
SC4602E0-PSG.edf,N2,0.8814,0.0776,0.0258,0.0104,0.0123,195.85,3.362,0.7156,0.067,0.0206
SC4602E0-PSG.edf,N3,0.9341,0.0499,0.0122,0.0051,0.0057,257.85,3.362,0.7985,0.0358,0.013
SC4602E0-PSG.edf,REM,0.7532,0.1261,0.075,0.029,0.0295,218.4,3.368,0.5114,0.1839,0.0531
SC4602E0-PSG.edf,Wake,0.718,0.1122,0.0638,0.0417,0.092,578.95,3.315,0.271,0.2586,0.1436
SC4611E0-PSG.edf,N1,0.9035,0.0565,0.0206,0.0109,0.0179,94.0,1.024,0.6239,0.0792,0.035
SC4611E0-PSG.edf,N2,0.917,0.0518,0.0161,0.0102,0.0158,109.6,1.012,0.8018,0.0359,0.024
SC4611E0-PSG.edf,N3,0.9446,0.0327,0.012,0.0058,0.0085,142.7,1.004,0.9102,0.016,0.009
SC4611E0-PSG.edf,OTHER,0.7902,0.0928,0.063,0.0168,0.035,442.1,1.016,0.232,0.3096,0.0369
SC4611E0-PSG.edf,REM,0.9019,0.0592,0.0197,0.0103,0.0171,113.0,1.014,0.648,0.0886,0.0321
SC4611E0-PSG.edf,Wake,0.8081,0.0994,0.0318,0.0228,0.0641,418.5,0.954,0.3599,0.1333,0.1059
SC4612E0-PSG.edf,N1,0.7473,0.1526,0.0486,0.0253,0.0428,122.6,3.742,0.5724,0.0932,0.0308
SC4612E0-PSG.edf,N2,0.8816,0.0775,0.0216,0.0136,0.0179,123.9,3.737,0.8095,0.0353,0.0203
SC4612E0-PSG.edf,N3,0.9467,0.0365,0.0112,0.0052,0.0061,172.0,3.731,0.9122,0.0156,0.01
SC4612E0-PSG.edf,REM,0.786,0.1367,0.0442,0.0216,0.034,119.8,3.7265,0.607,0.1144,0.0413
SC4612E0-PSG.edf,Wake,0.8462,0.0898,0.0235,0.0152,0.0389,429.9,3.7505,0.3408,0.1315,0.1046
SC4621E0-PSG.edf,N1,0.7707,0.1124,0.072,0.0354,0.0434,75.1,1.5315,0.6693,0.0959,0.0397
SC4621E0-PSG.edf,N2,0.8106,0.0953,0.0595,0.0266,0.03,75.3,1.009,0.7418,0.0786,0.0301
SC4621E0-PSG.edf,N3,0.9364,0.039,0.0161,0.0055,0.0061,101.2,0.989,0.8652,0.03,0.0095
SC4621E0-PSG.edf,REM,0.7312,0.1296,0.0845,0.0384,0.0538,135.1,0.753,0.5747,0.1367,0.0544
SC4621E0-PSG.edf,Wake,0.812,0.0733,0.038,0.024,0.076,514.7,4.101,0.2063,0.1485,0.1146
SC4622E0-PSG.edf,N1,0.644,0.1513,0.1053,0.0535,0.0768,81.1,2.47,0.5469,0.1466,0.0542
SC4622E0-PSG.edf,N2,0.833,0.0828,0.0569,0.0271,0.0279,78.3,0.748,0.7478,0.0806,0.0334
SC4622E0-PSG.edf,N3,0.9349,0.0307,0.022,0.009,0.0084,114.15,1.2855,0.9276,0.0202,0.0076
SC4622E0-PSG.edf,REM,0.7501,0.1256,0.0746,0.0324,0.0435,156.6,0.608,0.6065,0.1237,0.0528
SC4622E0-PSG.edf,Wake,0.8187,0.0711,0.0415,0.0241,0.0671,559.7,3.647,0.1893,0.1633,0.1138
SC4631E0-PSG.edf,N1,0.7905,0.0685,0.0582,0.0463,0.0897,109.0,3.183,0.5524,0.1295,0.0788
SC4631E0-PSG.edf,N2,0.8438,0.0721,0.0418,0.0291,0.0404,109.5,3.191,0.6946,0.0766,0.0434
SC4631E0-PSG.edf,N3,0.9104,0.0528,0.0231,0.0102,0.0116,131.6,3.211,0.8191,0.0379,0.0189
